label,n_frames,avg_total_ms,p95_total_ms,avg_optimization_ms,avg_mapping_ms,throughput_fps,avg_raw_pose_error_m,avg_eval_pose_error_m,avg_correction_mag_m,max_correction_mag_m,seam_ssim,n_edges,avg_edge_residual_before_m,avg_edge_residual_after_m,memory_mb,optimizer_edge_count,optimizer_mean_edge_before_m,optimizer_mean_edge_after_m,sweep,sweep_value,drift
nfeatures=500,241,123.93029709660576,143.24239999405108,22.701748133070875,16.724761826888546,8.069051906012,0.0,0.07362408587843115,0.07362408587843115,0.6866182178088558,0.9565888245900472,1265,4.1221119530446355,3.8476818762946965,189.0,1265,4.312070071826079,3.946124862742514,nfeatures,500,clean
nfeatures=700,241,127.22912406658993,145.3771000087727,26.626637758212784,16.402038175219484,7.859835610253939,0.0,0.07927416256940138,0.07927416256940138,0.7708464921712006,0.9568031231562296,1333,4.280133204418776,3.9839472960029565,189.0,1333,4.420814051820931,4.052669209214328,nfeatures,700,clean
nfeatures=1000,241,136.82540663816536,155.15860001323745,35.26932448117329,16.71131286266283,7.308584162621924,0.0,0.0831131215736776,0.0831131215736776,0.9118430911765731,0.9568985369470384,1373,4.413840960704724,4.1203275974170515,189.0,1373,4.512671328343652,4.146252024549257,nfeatures,1000,clean
solve_every=1,241,134.02154854753854,160.76590001466684,32.19251078819176,16.542237344501284,7.461486685070586,0.0,0.3532451108004203,0.3532451108004203,0.9016547592938587,0.9578836891386244,1333,4.280133204418776,3.974161215691715,189.0,1333,4.420814051820931,4.051169307296068,solve_every,1,clean
solve_every=3,241,128.5181211619696,146.41250000568107,27.847917013100243,16.47158796682614,7.781003884578378,0.0,0.12406581319518575,0.12406581319518575,0.7708464921712006,0.9577626519733005,1333,4.280133204418776,3.9794326848794483,189.0,1333,4.420814051820931,4.052669209214328,solve_every,3,clean
solve_every=5,241,127.08775020814095,144.00010000099428,26.96409958467386,16.280463900918498,7.868578980761139,0.0,0.07927416256940138,0.07927416256940138,0.7708464921712006,0.9568031231562296,1333,4.280133204418776,3.9839472960029565,189.0,1333,4.420814051820931,4.052669209214328,solve_every,5,clean
solve_every=10,241,125.19721742632463,142.89310001186095,26.066360996260318,16.03791742760464,7.98739796743865,0.0,0.04459950739915758,0.04459950739915758,0.7708464921712006,0.9571757912635803,1333,4.280133204418776,3.9949495438324205,189.0,1333,4.420814051820931,4.052669209214328,solve_every,10,clean
sift_nfeatures=200,241,252.85514107933346,282.2898000013083,152.29650248985456,16.690600829593127,3.954833568862455,0.0,0.07123850623545086,0.07123850623545086,0.6679610758895164,0.9567021197742887,1174,4.066123196410047,3.8210482715286247,189.0,1174,4.205744611212515,3.86531170886637,nfeatures_sift,200,clean
sift_nfeatures=500,241,312.6037585056586,343.19819998927414,212.0572817416454,16.839437344313417,3.1989378655595995,0.0,0.08489398180038213,0.08489398180038213,0.7754440447790374,0.9568862517674764,1381,4.455897579453389,4.190945082646177,189.0,1381,4.516290425587143,4.174174028803111,nfeatures_sift,500,clean
sift_nfeatures=700,241,358.27421825847694,397.1994000021368,256.3133070532076,17.02287095573275,2.7911581382017,0.0,0.0887388922514752,0.0887388922514752,0.7730909296606958,0.9566790329085456,1432,4.536225139186819,4.270003079013119,189.0,1432,4.592591772182852,4.256859489488968,nfeatures_sift,700,clean
sift_nfeatures=1000,241,425.04524522887533,468.31810000003316,322.0835908715076,17.81004771910979,2.3526907105184227,0.0,0.0933644348538289,0.0933644348538289,0.870512082976773,0.9567270676294962,1478,4.651357915608605,4.383986841351114,189.0,1478,4.676801359670145,4.346495384541118,nfeatures_sift,1000,clean
