arbitration_mode,avg_altitude_m,avg_correction_mag_m,avg_deadline_slack_ms,avg_decode_ms,avg_downscale_ms,avg_edge_residual_after_m,avg_edge_residual_before_m,avg_eval_pose_error_m,avg_feed_ms_legacy,avg_iou,avg_mapping_ms,avg_optimization_ms,avg_prep_ms,avg_raw_pose_error_m,avg_total_ms,capture_fps_mean,conflict_overrides,conflict_pixels,coverage_m2,dataset,deadline_miss_rate,drift_kind,drift_magnitude_m,drift_name,feature_type,frames_with_nonzero_correction,map_h_px,map_w_px,max_correction_mag_m,max_queue_delay_s,mean_capture_interval_s,median_capture_interval_s,median_eval_pose_error_m,median_total_ms,memory_mb,n_frames,n_successful_feeds,new_pixels,nonconflict_replacements,optimizer_edge_count,optimizer_max_edge_after_m,optimizer_max_edge_before_m,optimizer_mean_edge_after_m,optimizer_mean_edge_before_m,optimizer_median_edge_after_m,optimizer_median_edge_before_m,p05_deadline_slack_ms,p95_correction_mag_m,p95_total_ms,render_ms,seam_ssim,std_iou,std_total_ms,throughput_fps_total,tile_count,total_input_mb,use_optimizer,variant,variant_label
view_aware,160.86451672906404,0.0,1604.61929769501,12.45671650323113,0.002439408732252425,0.0,0.0,0.0,26.53443595991479,0.7679025375783529,26.53443595991479,0.0,0.0,0.0,39.14894605979605,0.6084004325792947,278658,2837423,723534.0,data2,0.0,none,0.0,clean,none,0,2048,2560,0.0,0.0,1.643654321152487,1.7599999904632568,0.0,40.51910000271164,149.625,406,406,3800848,25607710,0,0.0,0.0,0.0,0.0,0.0,0.0,442.34205907559954,0.0,44.10449999704724,84.21770000131801,0.9093849318368095,0.10083467006988611,6.306541649115982,25.54347180822189,19,251.84211444854736,0,raw_view,Raw GPS + view-aware overlap
view_aware,120.20112142857143,0.0,2150.727070503275,72.7691907134223,4.482674286035555,0.0,0.0,0.0,38.20234428484192,0.7200424646924766,38.20234428484192,0.0,0.0,0.0,115.63515714307349,0.44126984126984126,0,0,523278.0,data3,0.0,none,0.0,clean,none,0,2048,2560,0.0,0.0,2.2661870503597124,2.0,0.0,91.11350000603124,149.625,140,140,2746966,8738263,0,0.0,0.0,0.0,0.0,0.0,0.0,908.7744300020859,0.0,179.10831498884363,71.29340001847595,0.9360576868057251,0.07701431580153846,39.501579823952305,8.647888969984418,19,742.61328125,0,raw_view,Raw GPS + view-aware overlap
