altitude_m,arbitration_mode,capture_time_s,conflict_overrides,conflict_pixels,correction_mag_m,correction_x_m,correction_y_m,deadline_miss,deadline_slack_ms,decode_ms,downscale_ms,downscaled,drift_mag_m,drift_name,drift_x_m,drift_y_m,edge_residual_after_m,edge_residual_before_m,eval_pose_error_m,feature_type,feed_success,file_size_bytes,frame,gsd_proxy_m_px,img_h,img_w,inter_frame_interval_s,iou,mapping_ms,memory_bytes,memory_mb,new_pixels,nonconflict_replacements,optimization_ms,optimizer_edges,prep_ms,proc_h,proc_w,raw_pose_error_m,tile_count,total_ms,use_optimizer,variant
142.093,view_aware,1766396512.0,0,0,0.0,0.0,0.0,0,0.0,73.66120000369847,3.6669000110123307,True,0.2987480702172108,gaussian_1m,0.0012301533574825742,0.2987455375084699,0.0,0.0,0.2987480702172108,orb,1,6565888,0,71.0465,3000,4000,0.0,0.0,64.09469997743145,33030144,31.5,181313,0,366.8115000182297,0,0.6295000202953815,1500,2000,0.2987480702172108,4,509.13419999415055,1,optimized_view_orb
142.156,view_aware,1766396514.0,0,0,0.03435511076354028,-0.0009334823359428146,0.03434242633105011,0,1877.3024000111036,81.63010000134818,4.476200003409758,True,0.931829054603718,gaussian_1m,-0.2741378553622176,-0.8905918387572742,1.2367839874874427,1.3054942090145227,0.8993482624119029,orb,1,6606848,1,71.078,3000,4000,2.0,0.9385159517184528,15.760300011606887,33030144,31.5,187237,90057,19.581600005039945,1,0.9202999935951084,1500,2000,0.9318290546037178,4,122.6975999888964,1,optimized_view_orb
142.123,view_aware,1766396516.0,0,0,0.017109137613906922,0.012738590581328146,-0.011421510403309298,0,1881.7866999888793,80.11089998763055,4.636400000890717,True,1.0909117347086439,gaussian_1m,-0.45467078517172255,-0.9916465549964624,0.8384844477526762,0.9082016768580172,1.0961065680125843,orb,1,6615040,2,71.0615,3000,4000,2.0,0.8395848778071655,16.096600011223927,33030144,31.5,203010,171801,16.055300016887486,3,0.9943000040948391,1500,2000,1.0909117347086454,4,118.21330001112074,1,optimized_view_orb
142.206,view_aware,1766396518.0,0,0,0.2216232287055402,0.011310556256661303,-0.2213344230322818,0,1882.0992999826558,78.95970001118258,4.99149999814108,True,1.3415640712803087,gaussian_1m,0.060143602597438485,1.3402152455545335,1.7391635108539647,1.9325477229253873,1.1211601098084136,orb,1,6582272,3,71.103,3000,4000,2.0,0.7864043613348074,15.070699999341741,33030144,31.5,224441,251529,17.69470001454465,6,0.8791999716777354,1500,2000,1.3415640712803072,4,117.9007000173442,1,optimized_view_orb
142.203,view_aware,1766396520.0,0,0,0.21686101459069618,0.14998902271596537,-0.15662692206008444,0,1880.462000000989,78.28270000754856,4.89959999686107,True,0.7919951756235548,gaussian_1m,-0.49220651855132963,-0.6204748998199404,1.886291371726434,2.14830722065254,0.8491172216043433,orb,1,6524928,4,71.1015,3000,4000,2.0,0.7004779547454434,15.480400004889816,33030144,31.5,255726,326896,19.51400001416914,10,0.9494000114500523,1500,2000,0.7919951756235539,4,119.53799999901094,1,optimized_view_orb
142.181,view_aware,1766396522.0,0,0,0.5061525952152417,0.14246448758477526,-0.4856895298648425,0,1881.2392999825533,77.91880000149831,4.839800007175654,True,0.6060639988673453,gaussian_1m,0.4898420501851982,0.35688700816006075,2.4587574506349283,2.8663729301536938,0.6452919085996371,orb,1,6455296,5,71.0905,3000,4000,2.0,0.6996895076920471,15.452999999979511,33030144,31.5,287368,401349,19.21510000829585,15,0.9170999983325601,1500,2000,0.6060639988673436,4,118.76070001744665,1,optimized_view_orb
142.144,view_aware,1766396524.0,0,0,0.6523769909857673,0.31782858546741644,-0.5697198685559641,0,1879.2981000151485,77.49180000973865,4.521099996054545,True,0.936420282840403,gaussian_1m,0.10541424899789856,-0.9304680447082047,2.8596318681816517,3.4131148572288996,1.558748944516127,orb,1,6352896,6,71.072,3000,4000,2.0,0.6662462823355253,14.884400006849319,33030144,31.5,323021,473767,22.563900012755767,21,0.852899975143373,1500,2000,0.9364202828404047,4,120.70189998485148,1,optimized_view_orb
142.201,view_aware,1766396526.0,0,0,0.5757006931383476,0.24632192832554922,-0.5203429596967339,0,1882.8084999986459,76.8157999846153,4.239500005496666,True,0.6959182432881915,gaussian_1m,-0.02925182246327349,0.6953031944582878,3.2757826018358065,3.767701424281805,0.27880192719362346,orb,1,6324224,7,71.1005,3000,4000,2.0,0.6942757399936111,15.245999995386228,33030144,31.5,355749,547984,19.541800022125244,25,0.9548999951221049,1500,2000,0.6959182432881941,4,117.19150000135414,1,optimized_view_orb
142.23,view_aware,1766396528.0,0,0,0.37276573860819423,0.2480240582031923,-0.2782774917820916,0,1878.57579998672,77.61690000188537,4.503699979977682,True,1.4199735680234529,gaussian_1m,-1.344214547285082,-0.45761576104021817,3.4489377346460306,3.851025363247654,1.3202925690554308,orb,1,6492160,8,71.115,3000,4000,2.0,0.6674323522864146,18.645599979208782,49545216,47.25,391352,620745,19.44730000104755,28,0.7731000077910721,1500,2000,1.4199735680234524,6,121.42420001327991,1,optimized_view_orb
142.287,view_aware,1766396530.0,0,0,0.16893790866771946,0.12514726020843425,-0.11348207015799971,0,1879.0005999908317,79.98849998693913,4.341400024713948,True,2.2972930785308114,gaussian_1m,-1.901222739800844,-1.289537739784976,3.4382162660640754,3.788620038574577,2.2633843456871907,orb,1,6692864,9,71.1435,3000,4000,2.0,0.6732546512536756,15.727600024547428,49545216,47.25,426591,694167,19.566399976611137,30,0.9483000030741096,1500,2000,2.297293078530811,6,120.99940000916831,1,optimized_view_orb
